Place,CA Places Key,GEOID,County,counties,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,CCA Prohibited by County,Are all CCA activites prohibited?,Is all retail prohibited?,Unincorporated Population,INTPTLAT,INTPTLON,City Population PLACEHOLDER,Updated,Notes,Limit Explanations
Oakland,Oakland,653000,Alameda,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,No,No,,37.7698464,-122.2256900,428,2022-01-22,,
Fremont,Fremont,626000,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.4944613,-121.9411499,235,2022-01-22,,
Hayward,Hayward,633000,Alameda,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,No,No,,37.6286591,-122.1024054,162,2022-01-22,,
Berkeley,Berkeley,606000,Alameda,Alameda,Alameda County,City,Limited,Limited,Allowed,Allowed,Allowed,Allowed,,No,No,,37.8669717,-122.2991474,121,2022-01-22,,All retail: pre-existing only
Livermore,Livermore,641992,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.6854667,-121.7625177,91,2022-01-22,Allows delivery from outside jurisdiction,
San Leandro,San Leandro,668084,Alameda,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,No,No,,37.7033683,-122.1630360,87,2022-01-22,Micro: Silent,
Pleasanton,Pleasanton,657792,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.6671852,-121.8812304,79,2022-01-22,,
Alameda,Alameda,600562,Alameda,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,,No,No,,37.7419107,-122.2599139,78,2022-01-22,,Cultivation: Nursery Only
Union City,Union City,681204,Alameda,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,,No,No,,37.6029595,-122.0187225,72,2022-01-22,,Cultivation: Indoor only
Dublin,Dublin,620018,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.7161535,-121.8962343,63,2022-01-22,,
Newark,Newark,650916,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.5045144,-122.0329158,47,2022-01-22,,
Albany,Albany,600674,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.8906499,-122.3181164,19,2022-01-22,"Distribution, Testing, Micro: Silent",
Piedmont,Piedmont,656938,Alameda,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,37.8225436,-122.2300249,11,2022-01-22,,
Emeryville,Emeryville,622594,Alameda,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,No,No,,37.8399065,-122.2989635,11,2022-01-22,,
Alameda County,,,Alameda,Alameda,Alameda County,County,Allowed,Allowed,Limited,Limited,Allowed,Allowed,No,No,No,1,,,,2022-01-22,,"Distribution and manufacturing: Cultivator or microbusiness only
"
Alpine County,,,Alpine,Alpine,Alpine County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,1,,,,2022-01-22,,
Ione,Ione,636672,Amador,Amador,Amador County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,38.3600299,-120.9443428,8,2022-01-22,,
Jackson,Jackson,636980,Amador,Amador,Amador County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,38.3484537,-120.7723664,4,2022-01-22,,
Sutter Creek,Sutter Creek,677392,Amador,Amador,Amador County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Yes,Yes,,38.3928570,-120.7980620,2,2022-01-22,,
