Place,CA Places Key,INTPTLAT,INTPTLON,GEOID (from CA Places Key),County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Limit Explanations,Notes,Updated,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Unincorporated Population,City Population
Woodlake,Woodlake,36.4128251,-119.0995300,686300,Tulare,Tulare County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor and mixed light only,Micro: Silent,2022-01-22,No,No,,,7
Unincorporated Yolo County,,,,,Yolo,Yolo County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,221,
Fullerton,Fullerton,33.8857144,-117.9280246,628000,Orange,Orange County,City,Limited,Limited,Limited,Limited,Limited,Allowed,"Retail (all): Limit 2 total
Distribution: Limit 5
Manufacturer: Limit 5
Cultivation: Limit 5; indoor only
Microbusiness: Limit 2",,2022-01-22,No,No,,,144
Santa Ana,Santa Ana,33.7363320,-117.8829516,669000,Orange,Orange County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,338
Union City,Union City,37.6029595,-122.0187225,681204,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,72
Pleasant Hill,Pleasant Hill,37.9540083,-122.0758961,657764,Contra Costa,Contra Costa County,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,35
Nevada City,Nevada City,39.2596075,-121.0333263,650874,Nevada,Nevada County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,3
La Habra,La Habra,33.9279270,-117.9515540,639290,Orange,Orange County,City,Prohibited,Allowed,Allowed,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,,,62
Concord,Concord,37.9721891,-122.0016172,616000,Contra Costa,Contra Costa County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,,2022-01-22,No,No,,,129
Atwater,Atwater,37.3540494,-120.5971768,603162,Merced,Merced County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,31
Unincorporated San Joaquin County,,,,,San Joaquin,San Joaquin County,County,Prohibited,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,758,
Redwood City,Redwood City,37.5152736,-122.2136716,660102,San Mateo,San Mateo County,City,Allowed,Allowed,Prohibited,Prohibited,Limited,Prohibited,Cultivation: Nursery Only,,2022-01-22,No,No,,,86
Antioch,Antioch,37.9790748,-121.7961950,602252,Contra Costa,Contra Costa County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,113
Unincorporated Stanislaus County,,,,,Stanislaus,Stanislaus County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,555,
Novato,Novato,38.0850865,-122.5482145,652582,Marin,Marin County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,54
Avalon (Catalina Island),Avalon,33.3240430,-118.3346990,603274,Los Angeles,Los Angeles County,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,3
Berkeley,Berkeley,37.8669717,-122.2991474,606000,Alameda,Alameda County,City,Limited,Limited,Allowed,Allowed,Allowed,Allowed,All retail: pre-existing only,,2022-01-22,No,No,,,121
Greenfield,Greenfield,36.3233901,-121.2447500,630994,Monterey,Monterey County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,18
Corona,Corona,33.8619689,-117.5654945,616350,Riverside,Riverside County,City,Limited,Allowed,Allowed,Allowed,Prohibited,Allowed,Retail (storefront): Limit 12 licensees,,2022-01-22,No,No,,,168
Palm Desert,Palm Desert,33.7377972,-116.3637202,655184,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,52
Benicia,Benicia,38.0691473,-122.1511998,605290,Solano,Solano County,City,Limited,Allowed,Allowed,Allowed,Limited,Allowed,"Storefront retail: Limit 1 licensee
Cultivation: Indoor only",,2022-01-22,No,No,,,27
Unincorporated Sonoma County,,,,,Sonoma,Sonoma County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,503,
Patterson,Patterson,37.4740526,-121.1433883,656112,Stanislaus,Stanislaus County,City,Allowed,Prohibited,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,22
Unincorporated Mendocino County,,,,,Mendocino,Mendocino County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,89,
Santa Barbara,Santa Barbara,34.4006009,-119.7129545,669070,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,94
Chula Vista,Chula Vista,32.6276701,-117.0151696,613392,San Diego,San Diego County,City,Limited,Allowed,Allowed,Allowed,Limited,Allowed,"Retail (storefront): Limit 4 licensees
Cultivation: Indoor only",Micro: Silent,2022-01-22,No,No,,,267
Tracy,Tracy,37.7245975,-121.4455377,680238,San Joaquin,San Joaquin County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,92
Thousand Oaks,Thousand Oaks,34.1932896,-118.8742350,678582,Ventura,Ventura County,City,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,,,130
Sacramento,Sacramento,38.5665924,-121.4686318,664000,Sacramento,Sacramento County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,501
Firebaugh,Firebaugh,36.8534960,-120.4535653,624134,Fresno,Fresno County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,8
Rolling Hills,Rolling Hills,33.7600185,-118.3471668,662602,Los Angeles,Los Angeles County,City,Prohibited,Limited-Medical Only,Limited-Medical Only,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,1
Grass Valley,Grass Valley,39.2236859,-121.0550036,630798,Nevada,Nevada County,City,Limited,Limited,Limited,Limited,Limited,Limited,"Retail (storefront): Limit of 2 licensees
Retail (delivery): Limit of 3 licensees
Distributor: Limit of 5 licensees
Manufacturer and/or Processor: Limit of 10 total
Nursery: Limit of 2
Testing: Limit of 2",Micro: Silent,2022-01-22,No,No,,,13
Brisbane,Brisbane,37.6757495,-122.3833020,608310,San Mateo,San Mateo County,City,Prohibited,Allowed,Allowed,Allowed,Prohibited,Allowed,Retail (storefront): City plans to consider in 2022,Micro: Silent,2022-01-22,No,No,,,4
Cotati,Cotati,38.3284920,-122.7100491,616560,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,7
San Bernardino,San Bernardino,34.1415530,-117.2935572,665000,San Bernardino,San Bernardino County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,221
Burlingame,Burlingame,37.5899515,-122.3633425,609066,San Mateo,San Mateo County,City,Prohibited,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,30
El Monte,El Monte,34.0746329,-118.0291358,622230,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,117
Porterville,Porterville,36.0635420,-119.0336003,658240,Tulare,Tulare County,City,Allowed,Limited,Prohibited,Prohibited,Prohibited,Prohibited,Retail (Non-storefront): Delivery from storefronts only,,2022-01-22,No,No,,,60
Malibu,Malibu,34.0342195,-118.7794907,645246,Los Angeles,Los Angeles County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,12
Unincorporated Santa Cruz County,,,,,Santa Cruz,Santa Cruz County,County,Allowed,Limited,Allowed,Allowed,Allowed,Prohibited,Retail (Non-storefront): Delivery by storefront only,Testing: Silent,2022-01-22,No,No,No,276,
Oxnard,Oxnard,34.2023461,-119.2046028,654652,Ventura,Ventura County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,Micro: Silent,2022-01-22,No,No,,,206
Perris,Perris,33.7902240,-117.2214116,656700,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,77
Stanton,Stanton,33.8002548,-117.9934483,673962,Orange,Orange County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,39
Santa Cruz,Santa Cruz,36.9743850,-122.0352679,669112,Santa Cruz,Santa Cruz County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,66
National City,National City,32.6658617,-117.0973610,650398,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,62
Dunsmuir,Dunsmuir,41.2314848,-122.2709163,620242,Siskiyou,Siskiyou County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,1
Coachella,Coachella,33.6905455,-116.1430540,614260,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,45
