STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
06,66140,02411785,0666140,San Fernando,San Fernando city,25,C1,N,N,G4110,A,6148697,0,+34.2886519,-118.4362413
06,14190,02409487,0614190,Cloverdale,Cloverdale city,25,C1,N,N,G4110,A,7863863,59201,+38.7959624,-123.0153700
06,16560,02410240,0616560,Cotati,Cotati city,25,C1,N,N,G4110,A,4869007,8380,+38.3284920,-122.7100491
06,65042,02411779,0665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,25,C1,Y,N,G4110,A,56500370,27033715,+34.2677796,-119.2542062
06,30014,02410601,0630014,Glendora,Glendora city,25,C1,N,N,G4110,A,50251851,403066,+34.1449667,-117.8476672
06,32548,02410720,0632548,Hawthorne,Hawthorne city,25,C1,N,N,G4110,A,15750339,28946,+33.9147753,-118.3480828
06,36546,02410106,0636546,Inglewood,Inglewood city,25,C1,N,N,G4110,A,23485845,63502,+33.9560678,-118.3442743
06,39003,02411565,0639003,La Cañada Flintridge,La Cañada Flintridge city,25,C1,N,N,G4110,A,22347046,44361,+34.2109111,-118.2001349
06,40032,02411577,0640032,La Mirada,La Mirada city,25,C1,N,N,G4110,A,20259097,44465,+33.9020453,-118.0089608
06,55156,02411359,0655156,Palmdale,Palmdale city,25,C1,N,N,G4110,A,274452754,633935,+34.5910383,-118.1054031
06,55380,02411363,0655380,Palos Verdes Estates,Palos Verdes Estates city,25,C1,N,N,G4110,A,12363800,1160,+33.7865188,-118.3949114
06,62602,02410986,0662602,Rolling Hills,Rolling Hills city,25,C1,N,N,G4110,A,7742277,0,+33.7600185,-118.3471668
06,69088,02411819,0669088,Santa Clarita,Santa Clarita city,25,C1,N,N,G4110,A,136645644,131952,+34.4029972,-118.5041658
06,69154,02411823,0669154,Santa Fe Springs,Santa Fe Springs city,25,C1,N,N,G4110,A,22981399,101260,+33.9335648,-118.0626113
06,82422,02412150,0682422,Vernon,Vernon city,25,C1,N,N,G4110,A,12880357,476376,+34.0011230,-118.2108689
06,83332,02412173,0683332,Walnut,Walnut city,25,C1,N,N,G4110,A,23290060,9650,+34.0371955,-117.8556059
06,71806,02411897,0671806,Sierra Madre,Sierra Madre city,25,C1,N,N,G4110,A,7646968,11544,+34.1687705,-118.0502158
06,73220,02411940,0673220,South Pasadena,South Pasadena city,25,C1,N,N,G4110,A,8819992,31319,+34.1089567,-118.1566154
06,09598,02409955,0609598,Calabasas,Calabasas city,25,C1,N,N,G4110,A,35497813,90645,+34.1340150,-118.6691280
06,62644,02410987,0662644,Rolling Hills Estates,Rolling Hills Estates city,25,C1,N,N,G4110,A,9244326,114521,+33.7809592,-118.3253120
06,05290,02409833,0605290,Benicia,Benicia city,25,C1,N,N,G4110,A,33485701,7228782,+38.0691473,-122.1511998
06,19402,02410343,0619402,Dixon,Dixon city,25,C1,N,N,G4110,A,18460242,249127,+38.4475120,-121.8242225
06,60984,02410955,0660984,Rio Vista,Rio Vista city,25,C1,N,N,G4110,A,17188310,1042883,+38.1751526,-121.7085860
06,44574,02410901,0644574,Lynwood,Lynwood city,25,C1,N,N,G4110,A,12535643,0,+33.9239617,-118.2016475
06,75630,02411995,0675630,Suisun City,Suisun City city,25,C1,N,N,G4110,A,10632489,150029,+38.2483339,-122.0100659
06,49138,02411157,0649138,Moorpark,Moorpark city,25,C1,N,N,G4110,A,32579793,569292,+34.2859430,-118.8762626
06,62546,02410985,0662546,Rohnert Park,Rohnert Park city,25,C1,N,N,G4110,A,18138558,12617,+38.3482133,-122.6988818
06,70770,02411857,0670770,Sebastopol,Sebastopol city,25,C1,N,N,G4110,A,4817776,0,+38.3999838,-122.8277275
06,72646,02411929,0672646,Sonoma,Sonoma city,25,C1,N,N,G4110,A,7105861,0,+38.2903313,-122.4598310
06,10046,02409966,0610046,Camarillo,Camarillo city,25,C1,Y,N,G4110,A,50987676,24048,+34.2218233,-119.0321535
06,24092,02410504,0624092,Fillmore,Fillmore city,25,C1,N,N,G4110,A,8711738,3012,+34.3984228,-118.9160960
06,54652,02411347,0654652,Oxnard,Oxnard city,25,C1,Y,N,G4110,A,69672461,31875278,+34.2023461,-119.2046028
06,44112,02412917,0644112,Los Gatos,Los Gatos town,43,C1,N,N,G4110,A,28919260,206446,+37.2329763,-121.9510656
06,29504,02410591,0629504,Gilroy,Gilroy city,25,C1,N,N,G4110,A,41808104,26658,+37.0064066,-121.5853213
06,70280,02411832,0670280,Saratoga,Saratoga city,25,C1,N,N,G4110,A,32319948,0,+37.2684932,-122.0254127
06,20242,02410372,0620242,Dunsmuir,Dunsmuir city,25,C1,N,N,G4110,A,4155428,91445,+41.2314848,-122.2709163
06,22972,02410458,0622972,Etna,Etna city,25,C1,N,N,G4110,A,1967751,2444,+41.4581989,-122.8958191
06,25128,02410527,0625128,Fort Jones,Fort Jones city,25,C1,N,N,G4110,A,1559876,0,+41.6084521,-122.8410656
06,48690,02411140,0648690,Montague,Montague city,25,C1,N,N,G4110,A,4604511,39457,+41.7270878,-122.5305115
06,83850,02412201,0683850,Weed,Weed city,25,C1,N,N,G4110,A,12404897,12322,+41.4120866,-122.3809655
06,03666,02409777,0603666,Baldwin Park,Baldwin Park city,25,C1,N,N,G4110,A,17174857,399817,+34.0828245,-117.9712858
06,06308,02409840,0606308,Beverly Hills,Beverly Hills city,25,C1,N,N,G4110,A,14784023,5889,+34.0792300,-118.4024374
06,30000,02410597,0630000,Glendale,Glendale city,25,C1,Y,N,G4110,A,78818661,337115,+34.1813929,-118.2458301
06,40340,02411581,0640340,La Puente,La Puente city,25,C1,N,N,G4110,A,9010058,1746,+34.0323333,-117.9535204
06,44000,02410877,0644000,Los Angeles,Los Angeles city,25,C1,Y,N,G4110,A,1214027148,88124562,+34.0193936,-118.4108248
06,55618,02411369,0655618,Paramount,Paramount city,25,C1,N,N,G4110,A,12248385,286383,+33.8988835,-118.1666294
06,78148,02412047,0678148,Temple City,Temple City city,25,C1,N,N,G4110,A,10371374,0,+34.1021588,-118.0579488
06,59451,02411514,0659451,Rancho Cucamonga,Rancho Cucamonga city,25,C1,N,N,G4110,A,103562370,24723,+34.1233151,-117.5642070
06,10345,02409971,0610345,Campbell,Campbell city,25,C1,N,N,G4110,A,15189586,57451,+37.2802323,-121.9543517
06,17610,02410278,0617610,Cupertino,Cupertino city,25,C1,Y,N,G4110,A,29295950,2520,+37.3193981,-122.0449562
06,43294,02412916,0643294,Los Altos Hills,Los Altos Hills town,43,C1,N,N,G4110,A,23113664,0,+37.3672230,-122.1390911
06,48956,02411142,0648956,Monte Sereno,Monte Sereno city,25,C1,N,N,G4110,A,4234580,0,+37.2404547,-121.9880928
06,55282,02411362,0655282,Palo Alto,Palo Alto city,25,C1,Y,N,G4110,A,61810463,4940290,+37.3997819,-122.1427757
06,68000,02411790,0668000,San Jose,San Jose city,25,C1,Y,N,G4110,A,459749746,7803332,+37.2967394,-121.8189089
06,58296,02411462,0658296,Port Hueneme,Port Hueneme city,25,C1,N,N,G4110,A,11527567,568744,+34.1621431,-119.2041771
06,46170,02411046,0646170,Marysville,Marysville city,25,C1,N,N,G4110,A,8971085,312309,+39.1515353,-121.5833738
06,04030,02409790,0604030,Barstow,Barstow city,25,C1,N,N,G4110,A,107077779,133861,+34.8667883,-117.0430058
06,14890,02410200,0614890,Colton,Colton city,25,C1,N,N,G4110,A,39689349,1852708,+34.0545252,-117.3250286
06,30658,02410634,0630658,Grand Terrace,Grand Terrace city,25,C1,N,N,G4110,A,9070907,0,+34.0311716,-117.3132429
06,80686,02412108,0680686,Tulelake,Tulelake city,25,C1,N,N,G4110,A,1061321,6167,+41.9534596,-121.4748966
06,41474,02410835,0641474,Lincoln,Lincoln city,25,C1,N,N,G4110,A,54072542,62258,+38.8754761,-121.2923839
06,43140,02412914,0643140,Loomis,Loomis town,43,C1,N,N,G4110,A,18820036,0,+38.8093681,-121.1954675
06,65028,02411778,0665028,San Bruno,San Bruno city,25,C1,N,N,G4110,A,14144389,0,+37.6253897,-122.4313027
06,57876,02411449,0657876,Point Arena,Point Arena city,25,C1,N,N,G4110,A,3496030,0,+38.9123087,-123.6957623
06,85600,02412270,0685600,Willits,Willits city,25,C1,N,N,G4110,A,7247619,12611,+39.4050065,-123.3488889
06,16462,02413247,0616462,Corte Madera,Corte Madera town,43,C1,N,N,G4110,A,8193309,3216515,+37.9318458,-122.5077378
06,62980,02412578,0662980,Ross,Ross town,43,C1,N,N,G4110,A,4030683,0,+37.9638151,-122.5615688
06,64434,02413251,0664434,San Anselmo,San Anselmo town,43,C1,N,N,G4110,A,6933836,0,+37.9821217,-122.5699098
06,47710,02411109,0647710,Mill Valley,Mill Valley city,25,C1,N,N,G4110,A,12336106,218653,+37.9081217,-122.5423253
06,78666,02413389,0678666,Tiburon,Tiburon town,43,C1,N,N,G4110,A,11605217,22625339,+37.8871660,-122.4582910
06,03092,02411651,0603092,Atherton,Atherton town,43,C1,N,N,G4110,A,13028918,82320,+37.4570721,-122.2010583
06,08310,02409912,0608310,Brisbane,Brisbane city,25,C1,N,N,G4110,A,8017476,43981465,+37.6757495,-122.3833020
06,14736,02413228,0614736,Colma,Colma town,43,C1,N,N,G4110,A,4933467,0,+37.6766900,-122.4526823
06,20956,02410389,0620956,East Palo Alto,East Palo Alto city,25,C1,N,N,G4110,A,6528928,298782,+37.4677798,-122.1325502
06,25338,02410534,0625338,Foster City,Foster City city,25,C1,N,N,G4110,A,9830978,41557093,+37.5648200,-122.2507815
06,31708,02410685,0631708,Half Moon Bay,Half Moon Bay city,25,C1,N,N,G4110,A,16635055,52624,+37.4673142,-122.4404742
06,33798,02412752,0633798,Hillsborough,Hillsborough town,43,C1,N,N,G4110,A,16032321,0,+37.5572415,-122.3586951
06,47486,02411110,0647486,Millbrae,Millbrae city,25,C1,N,N,G4110,A,8416393,30068,+37.5989695,-122.4019908
06,54806,02411351,0654806,Pacifica,Pacifica city,25,C1,N,N,G4110,A,32793714,4923,+37.6066267,-122.4772114
06,05164,02409829,0605164,Belvedere,Belvedere city,25,C1,N,N,G4110,A,1345175,4888515,+37.8743657,-122.4716178
06,12524,02409430,0612524,Ceres,Ceres city,25,C1,N,N,G4110,A,24233112,14310,+37.5991087,-120.9684320
06,34904,02410804,0634904,Hughson,Hughson city,25,C1,N,N,G4110,A,5032668,0,+37.6021002,-120.8659790
06,51140,02411247,0651140,Newman,Newman city,25,C1,N,N,G4110,A,5340332,0,+37.3156543,-121.0211254
06,41936,02410846,0641936,Live Oak,Live Oak city,25,C1,N,N,G4110,A,8083326,0,+39.2788019,-121.6624391
06,67000,02411786,0667000,San Francisco,San Francisco city,25,C1,Y,N,G4110,A,121455687,479136515,+37.7272391,-123.0322294
06,52694,02411291,0652694,Oakdale,Oakdale city,25,C1,N,N,G4110,A,15602846,100948,+37.7616661,-120.8464343
06,19612,02410348,0619612,Dos Palos,Dos Palos city,25,C1,N,N,G4110,A,3494397,0,+36.9854237,-120.6338446
06,31568,02410677,0631568,Gustine,Gustine city,25,C1,N,N,G4110,A,4017002,0,+37.2545144,-120.9948698
06,54848,02411350,0654848,Pacific Grove,Pacific Grove city,25,C1,N,N,G4110,A,7401760,2927626,+36.6225766,-121.9264300
06,42006,02410850,0642006,Livingston,Livingston city,25,C1,N,N,G4110,A,9518115,7397,+37.3872812,-120.7249430
06,58352,02411473,0658352,Portola,Portola city,25,C1,N,N,G4110,A,14003444,0,+39.8207990,-120.4742930
06,68014,02411792,0668014,San Juan Bautista,San Juan Bautista city,25,C1,N,N,G4110,A,1842015,1166,+36.8456736,-121.5377770
06,46870,02411079,0646870,Menlo Park,Menlo Park city,25,C1,N,N,G4110,A,25876071,19152744,+37.4797313,-122.1480548
06,68252,02411800,0668252,San Mateo,San Mateo city,25,C1,N,N,G4110,A,31415730,9721639,+37.5603104,-122.3106003
06,58380,02412499,0658380,Portola Valley,Portola Valley town,43,C1,N,N,G4110,A,23563540,3741,+37.3650457,-122.2326785
06,40886,02411637,0640886,Lawndale,Lawndale city,25,C1,N,N,G4110,A,5113040,0,+33.8884221,-118.3531377
06,16322,02410231,0616322,Corning,Corning city,25,C1,N,N,G4110,A,9193421,0,+39.9281988,-122.1819931
06,78106,02412042,0678106,Tehama,Tehama city,25,C1,N,N,G4110,A,2057210,0,+40.0217761,-122.1269008
06,81666,02412142,0681666,Vallejo,Vallejo city,25,C1,Y,N,G4110,A,79438815,48871171,+38.1079211,-122.2639644
06,62000,02410965,0662000,Riverside,Riverside city,25,C1,Y,N,G4110,A,210379895,801713,+33.9381433,-117.3931675
06,49270,02411159,0649270,Moreno Valley,Moreno Valley city,25,C1,N,N,G4110,A,132800801,504194,+33.9232527,-117.2056845
06,16350,02410232,0616350,Corona,Corona city,25,C1,Y,N,G4110,A,102233537,211897,+33.8619689,-117.5654945
06,39486,02411601,0639486,Lake Elsinore,Lake Elsinore city,25,C1,N,N,G4110,A,98470406,14031927,+33.6885202,-117.3428734
06,04758,02409805,0604758,Beaumont,Beaumont city,25,C1,N,N,G4110,A,79483493,35531,+33.8767216,-116.9530089
06,33182,02410738,0633182,Hemet,Hemet city,25,C1,N,N,G4110,A,71851072,0,+33.7353163,-116.9944744
06,51560,02411265,0651560,Norco,Norco city,25,C1,N,N,G4110,A,35673942,573824,+33.9255186,-117.5519578
06,12048,02409412,0612048,Cathedral City,Cathedral City city,25,C1,N,N,G4110,A,58414268,665521,+33.8354871,-116.4631031
06,67112,02411788,0667112,San Jacinto,San Jacinto city,25,C1,N,N,G4110,A,66579313,1068083,+33.7951219,-116.9919568
06,55184,02411356,0655184,Palm Desert,Palm Desert city,25,C1,N,N,G4110,A,69446779,528739,+33.7377972,-116.3637202
06,39304,02411572,0639304,La Habra Heights,La Habra Heights city,25,C1,N,N,G4110,A,15952989,4740,+33.9589591,-117.9489729
06,77000,02412009,0677000,Sunnyvale,Sunnyvale city,25,C1,Y,N,G4110,A,56936612,1817655,+37.3857970,-122.0263165
06,49670,02411186,0649670,Mountain View,Mountain View city,25,C1,Y,N,G4110,A,31062820,719721,+37.3996860,-122.0792687
06,43280,02410876,0643280,Los Altos,Los Altos city,25,C1,N,N,G4110,A,16768400,0,+37.3685375,-122.0966288
06,69084,02411816,0669084,Santa Clara,Santa Clara city,25,C1,Y,N,G4110,A,47678886,0,+37.3646259,-121.9679274
06,49278,02411162,0649278,Morgan Hill,Morgan Hill city,25,C1,N,N,G4110,A,33054908,0,+37.1323963,-121.6409989
06,58072,02411454,0658072,Pomona,Pomona city,25,C1,N,N,G4110,A,59446734,26188,+34.0584937,-117.7610909
06,36490,02410102,0636490,Industry,Industry city,25,C1,N,N,G4110,A,30523345,723025,+34.0262321,-117.9403266
06,19192,02410334,0619192,Diamond Bar,Diamond Bar city,25,C1,N,N,G4110,A,38539601,13084,+34.0015725,-117.8176013
06,19990,02410361,0619990,Duarte,Duarte city,25,C1,N,N,G4110,A,17327820,0,+34.1609114,-117.9505275
06,02462,02409722,0602462,Arcadia,Arcadia city,25,C1,Y,N,G4110,A,28295893,540014,+34.1326887,-118.0363467
06,72996,02411934,0672996,South El Monte,South El Monte city,25,C1,N,N,G4110,A,7363975,14107,+34.0503775,-118.0483840
06,48914,02411146,0648914,Monterey Park,Monterey Park city,25,C1,Y,N,G4110,A,19864150,155186,+34.0483305,-118.1331830
06,84410,02412221,0684410,West Hollywood,West Hollywood city,25,C1,N,N,G4110,A,4888346,0,+34.0882673,-118.3718297
