City,County ,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Micro,Limit Explanations,Notes,Updated,Are all CCA activited prohibited?,Is all retail prohibited? ,CCA Prohibited by County
Adelanto,San Bernardino,City,Limited,Limited,Allowed,Allowed,Allowed,Allowed,Allowed,Retail (all): pre-existing businesses only,,Jan-22,N,N,
Agoura Hills,Los Angeles,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Alameda,Alameda,City,Allowed,Allowed,Allowed,Allowed ,Limited,Allowed ,Prohibited,Cultivation: Nursery Only,,Jan-22,N,N,
Albany,Alameda,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,"Distribution, Testing, Micro: Silent",Jan-22,Y,Y,
Alhambra,Los Angeles,City,Prohibited,Prohibited ,Prohibited ,Prohibited ,Prohibited ,Prohibited ,Prohibited ,,Allows medical delivery  from outside the jurisdiction ,Jan-22,Y,Y,
Aliso Viejo,Orange,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Alturas,Modoc,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,"Distribution, Testing, Micro: Silent",Jan-22,Y,Y,
Amador City,Amador,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
American Canyon,Napa,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Allowed ,Cultivation: Indoor only,,Jan-22,N,N,
Anaheim,Orange,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Anderson,Shasta,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Angels Camp,Calaveras,City,Prohibited,Prohibited ,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside of the jurisdiction,Jan-22,Y,Y,
Antioch,Contra Costa,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,Jan-22,N,N,
Apple Valley,San Bernardino,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Arcadia,Los Angeles,City,Prohibited ,Prohibited,Prohibited ,Prohibited ,Prohibited ,Prohibited,Prohibited ,,,Jan-22,Y,Y,
Arcata,Humboldt,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,Jan-22,N,N,
Arroyo Grande,San Luis Obispo,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited ,Prohibited,Prohibited,,,Jan-22,Y,Y,
Artesia,Los Angeles,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Arvin,Kern,City,Prohibited,Allowed,Allowed,Allowed ,Limited,Allowed,Allowed,Cultivation: indoor only,Prohibits delivery from outside of the jurisdiction,Jan-22,N,N,
Atascadero,San Luis Obispo,City,Prohibited,Allowed,Prohibited,Prohibited,Prohibited,Allowed ,Prohibited,,,Jan-22,N,N,
Atherton,San Mateo,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Silent for all CCA activities,Jan-22,Y,Y,
Atwater,Merced,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Allowed,Cultivation: Indoor only,,Jan-22,N,N,
Auburn,Placer,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Avalon (Catalina Island),Los Angeles,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,N,N,
Avenal,Kings,City,Prohibited,Prohibited ,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,"Distribution, Manufacturing, Cultivation, Testing, Micro: Silent",Jan-22,Y,Y,
Azusa,Los Angeles,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Bakersfield,Kern,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Baldwin Park,Angeles,City,Prohibited,Prohibited,Allowed ,Allowed ,Limited,Prohibited,Prohibited,Cultivation: Indoor only,,Jan-22,N,Y,
Banning,Riverside,City,Allowed,Prohibited,Allowed,Allowed,Limited,Allowed,Allowed,Cultivation: Indoor only,Non-storefront: Silent,Jan-22,N,N,
Barstow,San Bernardino,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Allowed,Cultivation: Indoor only,,Jan-22,N,N,
Beaumont,Riverside,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Bell,Los Angeles,City,Prohibited,Prohibited,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Prohibited,Cultivation: Indoor only,Allows medical delivery  from outside the jurisdiction ,Jan-22,N,Y,
Bell Gardens,Los Angeles,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Bellflower,Los Angeles,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,Jan-22,N,N,
Belmont,San Mateo,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,Jan-22,Y,Y,
Belvedere,Marin,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited ,Prohibited,Prohibited,,Allows delivery from outside of the jurisdiction,Jan-22,Y,Y,
