Place,CA Places Key,GEOID,County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distribution,Testing,Manufacturing,Cultivation,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Updated
Alameda County,,,Alameda,Alameda County,County,Allowed,Allowed,Limited,Allowed,Limited,Allowed,No,No,No,2022-01-22
Alpine County,,,Alpine,Alpine County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Amador County,,,Amador,Amador County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Butte County,,,Butte,Butte County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Calaveras County,,,Calaveras,Calaveras County,County,Allowed,Prohibited,Allowed,Prohibited,Prohibited,Allowed,No,No,No,2022-01-22
Colusa County,,,Colusa,Colusa County,County,Prohibited,Prohibited,Allowed,Allowed,Allowed,Limited,No,Yes,No,2022-01-22
Contra Costa County,,,Contra Costa,Contra Costa County,County,Allowed,Limited,Allowed,Allowed,Allowed,Limited,No,No,No,2022-01-22
Del Norte County,,,Del Norte,Del Norte County,County,Allowed,Prohibited,Prohibited,Prohibited,Allowed,Allowed,No,No,No,2022-01-22
El Dorado County,,,El Dorado,El Dorado County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,No,2022-01-22
Fresno County,,,Fresno,Fresno County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Glenn County,,,Glenn,Glenn County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Humboldt County,,,Humboldt,Humboldt County,County,Allowed,Limited,Allowed,Allowed,Allowed,Allowed,No,No,No,2022-01-22
Imperial County,,,Imperial,Imperial County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,No,2022-01-22
Inyo County,,,Inyo,Inyo County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,No,No,No,2022-01-22
Kern County,,,Kern,Kern County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Kings County,,,Kings,Kings County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Yes,Yes,Yes,2022-01-22
Lake County,,,Lake,Lake County,County,Prohibited,Prohibited,Allowed,Allowed,Allowed,Allowed,No,Yes,No,2021-12-13
